id,keyword,location,text,target
12,ablaze,"New Delhi, India","RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
13,ablaze,Nigeria,"To judge without proper investigation as to why someone acts the way he/she does? That man you're calling a thief and intend to put ablaze may be trying his total best to feed his family. If a man steals food, don't outrightly blame him – he is hungry, and as a human,",0
14,ablaze,Pataudi Palace 💅🏻,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
15,ablaze,ꜱʜᴇ/ʜᴇʀ/ᴛʜᴇʏ/ᴛʜᴇᴍ,"All to save a Walmart you set ablaze ,  huh ?

[ She giggled lightly a bit at this reality ]

You're quite a handful already https://t.co/PJnvYl9Ylo",0
16,ablaze,hell,My mom set me ablaze in my sleep the other night. I wonder how many times she’s wanted to before then.,0
17,ablaze,Hah!,"RT @adrianblomfield: 2nd Battalion, the Mercian Regiment (soon to be no more) came to Kenya on last hurrah, brought Covid with them, burned alive an elephant calf and then set ablaze 10,000 acres of cedar forest and wildlife sanctuary. Finest army in the world or a new version of Carry on Camping?",1
18,ablaze,India,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
19,ablaze,,"RT @RArarssa: Oromos of Wallo rendered homeless after their villages were set ablaze by Amhara Sp Forces&amp;Militia, local vigilantes. State-sponsord ethnic cleansing conducted by theANRS, orchestratd by Abiy.
@mbachelet @antonioguterres @hrw @amnesty
#Abiy_Ahmed_is_a_war_criminal!
#Oromoprotests https://t.co/rYyKlunQWA",1
20,ablaze,Kenya.,"RT @adrianblomfield: 2nd Battalion, the Mercian Regiment (soon to be no more) came to Kenya on last hurrah, brought Covid with them, burned alive an elephant calf and then set ablaze 10,000 acres of cedar forest and wildlife sanctuary. Finest army in the world or a new version of Carry on Camping?",1
21,ablaze,,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
22,ablaze,,"RT @bay8department: Our MOA Globe Ad for Stray Kids' 3rd Anniversary is up! It is looking ablaze and fired up at such a huge view! 🔥

Please do follow health protocols and guidelines, and keep safe! Tag us if you are to post your videos, we can't wait to see them! 😉 https://t.co/xRaDp8plRn",0
23,ablaze,,"RT @NY1: Family and friends gathered to mourn the loss of Garrett Goble, whose life was cut short one year ago after the train he was operating was set ablaze. https://t.co/ieBRM5McJN",0
24,ablaze,,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
25,ablaze,sa piling ni Lord,"RT @JILWorldwide: Set us ablaze, O God, that we may run through the field of harvest with our hearts burning for the Gospel!",0
26,ablaze,20 • ᴀɴʏ ᴘʀᴏɴᴏᴜɴꜱ • ꜱᴋᴢᴘᴏᴘ 💿,"RT @bay8department: Our MOA Globe Ad for Stray Kids' 3rd Anniversary is up! It is looking ablaze and fired up at such a huge view! 🔥

Please do follow health protocols and guidelines, and keep safe! Tag us if you are to post your videos, we can't wait to see them! 😉 https://t.co/xRaDp8plRn",0
27,ablaze,,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
28,ablaze,"Chennai, India","RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
29,ablaze,,@SarahKSilverman Please re-tweet. The world must be made aware of this hate: https://t.co/A4qF7dI2DR,0
30,ablaze,Kenya,"RT @adrianblomfield: 2nd Battalion, the Mercian Regiment (soon to be no more) came to Kenya on last hurrah, brought Covid with them, burned alive an elephant calf and then set ablaze 10,000 acres of cedar forest and wildlife sanctuary. Finest army in the world or a new version of Carry on Camping?",1
31,ablaze,h. one,heart ablaze✨ https://t.co/UgSTPZHp1l,0
32,ablaze,India,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
33,ablaze,"Maharashtra, India","RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
34,ablaze,India,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
35,ablaze,"Magalang, Pampanga","RT @JILWorldwide: Set us ablaze, O God, that we may run through the field of harvest with our hearts burning for the Gospel!",0
36,ablaze,"New Delhi, India","RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
37,ablaze,"Eldoret, Kenya","RT @adrianblomfield: 2nd Battalion, the Mercian Regiment (soon to be no more) came to Kenya on last hurrah, brought Covid with them, burned alive an elephant calf and then set ablaze 10,000 acres of cedar forest and wildlife sanctuary. Finest army in the world or a new version of Carry on Camping?",1
38,ablaze,,"RT @JILWorldwide: Set us ablaze, O God, that we may run through the field of harvest with our hearts burning for the Gospel!",0
39,ablaze,,"RT @ChinarcorpsIA: ➡️ThisDayThatYear :- 10 Feb 2001
15 locals including 7 children, 3 women &amp; 2 VDC members were gruesomely killed by LeT terrorists in indiscriminate firing at village Morha Salui, Kot Chadwal, Rajouri.
The houses were then locked from outside &amp; set ablaze. #kashmirrejectsterrorism https://t.co/xT6T5w1tsy",1
40,ablaze,,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
41,ablaze,,"RT @Its_Nistha: Wishing everyone a Happy Holika Dahan
This holy festival signifies the triumph of the good over the evil by merging the fact that the almighty always favours true devotion and 'Dharma'. May all kind of evils get set ablaze on this sacred day!
#होलिकादहन https://t.co/6l0lszsiQv",0
42,ablaze,Chennai,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
43,ablaze,India,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
44,ablaze,,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
45,ablaze,Mun 19; Muse 10. @cannibalcoat,"@SecretSins666 Eros clings tightly to Apollo, sobbing into his shoulder. His body was trembling harshly, so harshly his teeth chattered. He watches Mono with wide eyes, his sparks and then the tree being set ablaze making his legs curl in closer. 

He could hear Parents starting to mull about-",0
46,ablaze,,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
47,ablaze,,"RT @JILWorldwide: Set us ablaze, O God, that we may run through the field of harvest with our hearts burning for the Gospel!",0
48,ablaze,,@wanjikumugane Fathers(older men) are quiet while the sons run amok setting dormitories ablaze assaulting teachers or killing women and i will never forgive them for this.,1
49,ablaze,,"RT @Its_Nistha: Wishing everyone a Happy Holika Dahan
This holy festival signifies the triumph of the good over the evil by merging the fact that the almighty always favours true devotion and 'Dharma'. May all kind of evils get set ablaze on this sacred day!
#होलिकादहन https://t.co/6l0lszsiQv",0
50,accident,,"RT @memejanitorVEVO: @the_r34l_joey okay but like
in the context of the video and it being an accident, im the bike man

in the context of it being on purpose, dropping an entire bike on someones head for the lols, yes i agree that would be alexis",0
51,accident,,RT @robbysoave: I watched the footage. The word “accident” has no place here. https://t.co/NbSAuIlQmA,0
52,accident,"Greenbelt, MD",RT @ChuckRossDC: “an accident.” CNN is evil https://t.co/WKlYXID3AS,1
53,accident,,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
54,accident,"Florida, USA","RT @MarkDice: CNN is reporting this was an “accident.”   

⚠️ Viewer discretion advised. ⚠️ 
https://t.co/U8kEvgD9WN",1
55,accident,"San Antonio, TX",RT @TheRightMelissa: “Accident” b/c it was 2 black girls. If they were white the media would be screaming “White Supremacy” for weeks &amp; Biden/Kamala would be attending the Pakistani immigrant’s funeral complete w/ a golden casket &amp; live on every channel https://t.co/CX6Jhw3Au4,0
56,accident,"Los Angeles, CA","RT @marklutchman: Two black teenage girls carjacked an Uber driver and he died defending his property.

CNN called this an “accident.” 

This was murder and they only spun the story because the two carjackers were black. It’s sick.",1
57,accident,,"RT @Cernovich: An immigrant was murdered in cold blood during a car jacking. It’s on video. 

CNN called it an “accident.” https://t.co/hZmbMzMiZz",1
58,accident,,@PHL_BirdsFlyers @TheDigriz @PoliticalScreen accident implies driver is at fault .,1
59,accident,"Vacaville, CA",RT @Perseus44604589: Accident... https://t.co/nuFNFVA8kw,0
60,accident,United States,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
61,accident,,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
62,accident,♡ she/her ♡,"RT @AsraNomani: Tale of two headlines. 

White man kills Asian women --&gt; ""White supremacy"" ""haunting"" ""Asian Americans"" 

Two Black girls kill an Asian Muslim man --&gt; ""The girls"" ""assaulted"" an ""Uber Eats driver"" with a Taser, ""which led""  to ""an accident"" ""in which"" ""he was fatally injured"" https://t.co/WRIwnKPDQr",1
63,accident,"Mandalay, Myanmar ","RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
64,accident,,"I'm curious, how many of you stumbled into my account by accident?",0
65,accident,"California, USA","RT @CNN: Police said the girls, 13 and 15, assaulted an Uber Eats driver with a Taser while carjacking him, which led to an accident in which he was fatally injured. https://t.co/N6RpLoTu8x",1
66,accident,,"@SteveSkojec It's at least encouraging that ""Accident"" is trending. The woke can't be shamed, but I do think that the average American can open their eyes and see this crap.",0
67,accident,"Yangon,Myanmar.","RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
68,accident,Rng,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
69,accident,,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
70,accident,America,@wakingatlast @WhoIsTreyMorgan @AnthonyBialy They have intentionally disconnected his death from the actions of these girls.  Simple word choice makes it sound slike the man's death was caused by an accident and not the car jacking.  It is intentional and abhorrent.,0
71,accident,,"RT @selena_ph7: #BeyondEvil foreshadowing spotted by knetz:
1) Use of toy police car to demo the accident
2) During the news of HKH becoming commissioner, the headline running at the bottom of the screen was about police chasing 20ish drunk driver.
🤯🤯🤯 https://t.co/a3sXPOEMr8",0
72,accident,,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
73,accident,,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
74,accident,"Dearborn, MI","RT @CNN: Police said the girls, 13 and 15, assaulted an Uber Eats driver with a Taser while carjacking him, which led to an accident in which he was fatally injured. https://t.co/N6RpLoTu8x",1
75,accident,Secunda,@_Mbalivalentine Hau Mara ngoba mina I am another dude .... plz hau ngaze ngibe ne accident on my way to the place,0
76,accident,,i did on accident https://t.co/SXPsr6SO8e,0
77,accident,,"@savukku He is not an accidental actor. 
His acting was a tragic accident.",0
78,accident,SHE/HER,"RT @dailykiim: tw // bomb attack 

sending all my prayers to all people that are involved in the bombing accident at Gereja Katedral Makassar🙏🏻 deep condolences",1
79,accident,,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
80,accident,,RT @TheRightMelissa: “Accident” b/c it was 2 black girls. If they were white the media would be screaming “White Supremacy” for weeks &amp; Biden/Kamala would be attending the Pakistani immigrant’s funeral complete w/ a golden casket &amp; live on every channel https://t.co/CX6Jhw3Au4,1
81,accident,Myanmar,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
82,accident,Everywhere,RT @redsteeze: Was it an accident? Yes/No https://t.co/r9Fs8XPhG7,0
83,accident,13 y/o + any pronouns,"that crashing sound made my heart sink oh my fucking god. justice needs to be serve for the one who was ill treated. this shit should not be let go like it was just an ""accident"". https://t.co/B7cVoBtmPa",0
84,accident,BlackLivesMatter,"RT @Cernovich: An immigrant was murdered in cold blood during a car jacking. It’s on video. 

CNN called it an “accident.” https://t.co/hZmbMzMiZz",1
85,accident,United States,@Tyler_The_Wise Especially here where there was absolutely ZERO accident. It’s language dude. Car crashes are more common than plane or train ones. I think it’s a way to desensitize people to it,0
86,accident,,"RT @AsraNomani: Tale of two headlines. 

White man kills Asian women --&gt; ""White supremacy"" ""haunting"" ""Asian Americans"" 

Two Black girls kill an Asian Muslim man --&gt; ""The girls"" ""assaulted"" an ""Uber Eats driver"" with a Taser, ""which led""  to ""an accident"" ""in which"" ""he was fatally injured"" https://t.co/WRIwnKPDQr",1
87,accident,,"@TUrvote @TazKHC @jesskcoleman @joncoopertweets It was NOT POPULARITY!  It was like a really bad car accident that you just can't seem to turn away from.  IMO, I would never give him credit by saying that he was in any way popular.",0
88,accident,,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
89,accident,Myanmar,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
90,accident,,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
91,accident,,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
92,accident,berlin,"RT @CarmineSabia: @CNN Some corrections you dishonest fuckfaces.

Not an accident. A murder.

You forgot to mention that he was an immigrant murdered by two black teens. You must have forgot it because if it were two white teens you liars would be naming it a hate crime.",1
93,accident,,"RT @KenRoth: In advance of Armed Forces Day on Saturday, the Myanmar junta warned that pro-democracy protesters risked being shot ""in the head and back."" Then they did precisely that, killing ~100. No one can claim that was an accident. It was deliberate criminality. https://t.co/YxydtvSdjx https://t.co/PVCNvGYmcj",1
94,accident,M: 2/2,Not before I spill the hot soup on your little Sherlocks by accident. https://t.co/2JO3gzbt3c,0
95,accident,pisces ☼ virgo ☾ libra ↑,RT @loganclarkhall: tasing an innocent gig worker then stealing his car and killing him. CNN calls this “an accident.” https://t.co/8SJaCd6bGW,1
96,accident,,"RT @ketto: Monirul Molla, the sole breadwinner of his family, met with an accident in which he lost his leg. He needs your support to pay for his treatment.

Please help: https://t.co/FANrCL9wFk https://t.co/PWHuJ5coDi",1
97,accident,N/A,@Nmatt007 @BigBackJay @CNN “Which led to a car accident” would make it more clear.,0
98,accident,Space,"RT @MarkDice: CNN is reporting this was an “accident.”   

⚠️ Viewer discretion advised. ⚠️ 
https://t.co/U8kEvgD9WN",1
99,accident,"St Paul, MN","@SNCshares Thanks for the information!  I don't like the word accident because, to me anyway and broadly speaking, it insinuates nothing could be done.  Accident is a trigger word in the cycling community and is associated with inattentive drivers hitting cyclists without being charged.",0
100,aftershock,Choice Mountain,RT @Aaron_Griffin: Cover Illustration I had the pleasure of working on earlier this year - Ion Fury Aftershock. https://t.co/4PMJiZyDvX,0
101,aftershock,"San Antonio, TX","RT @CadenceComicArt: 🚨#OriginalComicArt Spotlight🚨

Insexts (AfterShock Comics) Issue 7 Cover by @ARIELAkris.

https://t.co/GbCTG7VZ0B https://t.co/upFzVm8WSO",0
102,aftershock,"Alaska, USA","RT @AKearthquake: Within the 1st 24 hours after the #GoodFridayEQ, there were 11 aftershocks of M6+. For places already devastated by the M9.2 mainshock, the tsunami, landslides, fires, building &amp; infrastructure collapses, each additional aftershock triggered fear for loss of life &amp; property. 1/2",1
103,aftershock,,"RT @AKearthquake: Within the 1st 24 hours after the #GoodFridayEQ, there were 11 aftershocks of M6+. For places already devastated by the M9.2 mainshock, the tsunami, landslides, fires, building &amp; infrastructure collapses, each additional aftershock triggered fear for loss of life &amp; property. 1/2",1
104,aftershock,"Cleveland, Ohio","First time watch: BLACK SCORPION 2: AFTERSHOCK (aka BLACK SCORPION 2: GROUND ZERO). 

The first film is some absurd action that has more cheese than a Velveeta factory. High hopes for this sequel.

https://t.co/N8s97pyMzs",0
105,aftershock,"Portland, OR",skrillex dropping the bass is an earthquake aftershock,0
106,aftershock,"Northwich, England",Tune into my radio station!! Aftershock - Slave To The Vibe . . . . https://t.co/AnhGPRH1PF,0
107,aftershock,"Bangkok, Thailand",RT @Aaron_Griffin: Cover Illustration I had the pleasure of working on earlier this year - Ion Fury Aftershock. https://t.co/4PMJiZyDvX,0
108,aftershock,Internet,Ion Fury: Aftershock Expansion Announcement Trailer | #voidpoint — https://t.co/oIsFEAISLs https://t.co/aJmMbpn0Ny,0
109,aftershock,Bay Areaaaaa,it be the aftershock for me..,0
110,aftershock,United Kingdom,RT @PlayStation: Return to the retro-futuristic streets of Ion Fury with Aftershock. The new FPS expansion pack hits PS4 this summer: https://t.co/RQOoIlRkhi https://t.co/G94zYib5B8,0
111,aftershock,,"RT @AKearthquake: Within the 1st 24 hours after the #GoodFridayEQ, there were 11 aftershocks of M6+. For places already devastated by the M9.2 mainshock, the tsunami, landslides, fires, building &amp; infrastructure collapses, each additional aftershock triggered fear for loss of life &amp; property. 1/2",1
112,aftershock,They/Them,@suckyvibes @gravpest Tool!!! I drove 11 hours to see them at Aftershock the 1st year they were touring again. It was EVERYTHING 😩💗,0
113,aftershock,"Morehead, KY","RT @AKearthquake: Within the 1st 24 hours after the #GoodFridayEQ, there were 11 aftershocks of M6+. For places already devastated by the M9.2 mainshock, the tsunami, landslides, fires, building &amp; infrastructure collapses, each additional aftershock triggered fear for loss of life &amp; property. 1/2",1
114,aftershock,"Fairbanks, AK","Within the 1st 24 hours after the #GoodFridayEQ, there were 11 aftershocks of M6+. For places already devastated by the M9.2 mainshock, the tsunami, landslides, fires, building &amp; infrastructure collapses, each additional aftershock triggered fear for loss of life &amp; property. 1/2",1
115,aftershock,"Portland, OR","RT @outoftheazul: Doodling up some fanart for @jjblacklocke's amazing Tradepoint Saga. Book three comes out next month! This is a rough rendition of Gredin's flamestone, one of her most prized possessions. #TradepointSaga #TheTradepointSaga #fanart #Refuge #Aftershock #TheBereft #flamestone https://t.co/nJaO2cQVBV",0
116,aftershock,,Bbls in aug so excited I’m gunna be a bad bitch 😝 it’s actually cheap here in Vegas love Mia aesthetics I’ll post before and aftershock for yall,0
117,aftershock,U. S..A,The aftershock severely damages my already wrecked walls/Trustlevels @TreRook_,1
118,aftershock,"Oregon, USA","Aftershock Official Red Band Trailer #1 (2012) -  Eli Roth Movie HD
Eli (2019)
Watch: https://t.co/pnhtGOCRVe
#Eli",0
119,aftershock,Kuala Lumpur City,"Ion Fury’s Aftershock Expansion Reloads More ‘90s-style FPS Action on PC and Consoles Summer 2021

@voidpnt
@3DRealms
@1C_Company
#IonFury #shooter #retro #retrogame #indiegame #indiegaming #fps #game #gamingnews #videogame #nintendoswitch #playstation… https://t.co/6bmGpGMkf3",0
120,aftershock,Nazareth PA,"RT @sectv: Want to take a look back at professional wrestling superstars when they performed in the Lehigh Valley? Watch ""WXW: Aftershock"" on @SENetworkTV!

It airs tonight at 11:00 PM, following ""Classic Fight Night,"" on SEN2/502 HD. https://t.co/Gl285qKQ8U",0
121,aftershock,Same place as Carmen Sandiego!,RT @Sinvicta: FRACTURE THE FAULTINE: AFTERSHOCK is out NOW!  Download the entire album for FREE at https://t.co/dZmJl2CAkJ and THANK YOU to everyone who tuned into the live streams tonight! See you soon. 🤘,0
122,aftershock,,RT @Sinvicta: FRACTURE THE FAULTINE: AFTERSHOCK is out NOW!  Download the entire album for FREE at https://t.co/dZmJl2CAkJ and THANK YOU to everyone who tuned into the live streams tonight! See you soon. 🤘,0
123,aftershock,USA,RT @Rickroo95: Congrats to @sinvicta for the wonderful music and launch of 🤘 Fracture The Faultline: Aftershock 🤘,0
124,aftershock,,Congrats to @sinvicta for the wonderful music and launch of 🤘 Fracture The Faultline: Aftershock 🤘,0
125,aftershock,USA,FRACTURE THE FAULTINE: AFTERSHOCK is out NOW!  Download the entire album for FREE at https://t.co/dZmJl2CAkJ and THANK YOU to everyone who tuned into the live streams tonight! See you soon. 🤘,0
126,aftershock,MA,"Also I was basically called bougie by my dad for having a $30 bottle of bourbon. Uh dad, we’re in the aftershock of 2020 and after surviving the last 365+ days, I’m treating myself.",0
127,aftershock,"Oak Harbor, WA","RT @3DRealms: SUMMER 2021, WE TAKE DOWN HESKEL FOR GOOD.

3D Realms and @voidpnt are excited to announce ION FURY: AFTERSHOCK, the anticipated DLC to the 2019 hit!

Wishlist the DLC now!
https://t.co/kG9MwEMjI8

@1C_Company @voidpnt @Bombshell_Game 
#indiegame #lowpoly #boomershooter #retrofps https://t.co/MCSrVHk3GS",0
128,aftershock,Prague,"RT @3DRealms: SUMMER 2021, WE TAKE DOWN HESKEL FOR GOOD.

3D Realms and @voidpnt are excited to announce ION FURY: AFTERSHOCK, the anticipated DLC to the 2019 hit!

Wishlist the DLC now!
https://t.co/kG9MwEMjI8

@1C_Company @voidpnt @Bombshell_Game 
#indiegame #lowpoly #boomershooter #retrofps https://t.co/MCSrVHk3GS",0
129,aftershock,The Cloud,"RT @3DRealms: SUMMER 2021, WE TAKE DOWN HESKEL FOR GOOD.

3D Realms and @voidpnt are excited to announce ION FURY: AFTERSHOCK, the anticipated DLC to the 2019 hit!

Wishlist the DLC now!
https://t.co/kG9MwEMjI8

@1C_Company @voidpnt @Bombshell_Game 
#indiegame #lowpoly #boomershooter #retrofps https://t.co/MCSrVHk3GS",0
